date,Inflation,Unemployment
2010-01-01,1.3068229999999998,8.5
2010-02-01,1.150882,8.6
2010-03-01,1.370061,8.6
2010-04-01,1.552742,8.7
2010-05-01,1.3875309999999998,8.7
2010-06-01,1.287893,8.5
2010-07-01,1.6406889999999998,8.5
2010-08-01,1.563587,8.3
2010-09-01,1.556927,8.4
2010-10-01,1.798459,8.6
2010-11-01,1.72907,8.4
2010-12-01,1.872646,8.2
2011-01-01,2.10663,8.2
2011-02-01,2.326249,8.1
2011-03-01,2.489092,8.1
2011-04-01,2.6153470000000003,8.0
2011-05-01,2.674522,8.3
2011-06-01,2.756968,8.2
2011-07-01,2.725248,8.4
2011-08-01,2.79162,8.6
2011-09-01,3.045562,9.0
2011-10-01,3.328214,8.9
2011-11-01,3.300667,9.5
2011-12-01,3.243544,9.7
2012-01-01,3.25388,9.7
2012-02-01,3.315417,10.2
2012-03-01,3.318822,10.7
2012-04-01,3.310337,10.7
2012-05-01,3.199319,10.6
2012-06-01,3.279275,10.9
2012-07-01,3.034112,11.1
2012-08-01,3.200236,11.0
2012-09-01,3.183664,11.2
2012-10-01,2.62378,11.6
2012-11-01,2.417846,11.6
2012-12-01,2.387953,11.6
2013-01-01,2.180771,12.1
2013-02-01,1.868877,12.0
2013-03-01,1.687857,12.0
2013-04-01,1.185163,12.3
2013-05-01,1.181403,12.4
2013-06-01,1.224849,12.4
2013-07-01,1.223454,12.2
2013-08-01,1.175553,12.5
2013-09-01,0.9001671999999998,12.6
2013-10-01,0.6944171999999998,12.6
2013-11-01,0.654164,12.5
2013-12-01,0.6700144,12.6
2014-01-01,0.6301338,13.0
2014-02-01,0.5069800999999999,12.9
2014-03-01,0.3142254999999999,12.7
2014-04-01,0.5162577,12.7
2014-05-01,0.4146639999999999,12.7
2014-06-01,0.2600014999999999,12.3
2014-07-01,0.0822931999999999,12.9
2014-08-01,-0.0497423999999999,12.5
2014-09-01,-0.1332427999999999,12.9
2014-10-01,0.1552974,13.0
2014-11-01,0.2220082999999999,13.2
2014-12-01,-0.0143439599999999,12.4
2015-01-01,-0.5808131999999999,12.4
2015-02-01,-0.1611957999999998,12.4
2015-03-01,-0.0373387599999999,12.6
2015-04-01,-0.1082879999999999,12.2
2015-05-01,0.164442,12.3
2015-06-01,0.1723579999999999,12.3
2015-07-01,0.2451215999999999,11.7
2015-08-01,0.1565062999999999,11.7
2015-09-01,0.1856236,11.6
2015-10-01,0.2796950999999999,11.7
2015-11-01,0.1295950999999999,11.5
2015-12-01,0.0878343099999999,11.7
2016-01-01,0.2929959999999999,11.6
2016-02-01,-0.2005456999999999,11.7
2016-03-01,-0.2546256,11.6
2016-04-01,-0.4241032999999999,11.8
2016-05-01,-0.3356292999999999,11.6
2016-06-01,-0.2819219,11.7
2016-07-01,-0.06154964,11.6
2016-08-01,-0.0242600299999999,11.7
2016-09-01,0.1340821,11.9
2016-10-01,-0.11805,11.7
2016-11-01,0.1076064999999999,12.0
2016-12-01,0.4796751,11.8
2017-01-01,0.9751195,11.7
2017-02-01,1.556342,11.5
2017-03-01,1.416693,11.6
2017-04-01,1.839829,11.2
2017-05-01,1.439221,11.4
2017-06-01,1.221414,11.2
2017-07-01,1.071353,11.4
2017-08-01,1.224382,11.4
2017-09-01,1.092046,11.2
2017-10-01,0.9645631,11.1
2017-11-01,0.9251115,10.9
2017-12-01,0.8584275999999998,10.9
2018-01-01,0.9333253,11.0
2018-02-01,0.5227837,10.8
2018-03-01,0.8121219,10.9
2018-04-01,0.4948600999999999,11.0
2018-05-01,0.9658301,10.6
2018-06-01,1.255716,10.7
2018-07-01,1.526284,10.3
2018-08-01,1.565524,10.2
2018-09-01,1.393139,10.3
2018-10-01,1.5795709999999998,10.7
2018-11-01,1.497542,10.5
2018-12-01,1.132818,10.3
2019-01-01,0.9121904,10.4
2019-02-01,1.020442,10.4
2019-03-01,0.9668707,10.2
2019-04-01,1.052628,10.3
2019-05-01,0.8338528,10.0
2019-06-01,0.6992248999999999,9.6
2019-07-01,0.3629246999999999,9.6
2019-08-01,0.3964655999999999,9.5
2019-09-01,0.2571532,9.7
2019-10-01,0.1868302,9.5
2019-11-01,0.2363962,9.8
2019-12-01,0.4373568999999999,9.8
2020-01-01,0.4938832,9.6
2020-02-01,0.2471157999999999,9.5
2020-03-01,0.1367027999999999,7.7
2020-04-01,0.0767240299999999,7.4
2020-05-01,-0.2368271999999999,8.7
2020-06-01,-0.2664755999999999,9.6
2020-07-01,-0.3536605999999999,10.3
2020-08-01,-0.5301875,10.1
2020-09-01,-0.5747738,10.1
2020-10-01,-0.3119140999999999,9.9
2020-11-01,-0.2053002999999999,9.5
